osm_building,roof_features,roof_to_osm_area_ratio,match_fraction_min,roof_z_m,roof_z_p75_m,roof_z_max_m,roof_z_spread_max_m,dtm_ground_max_vertex_m,dtm_ground_roof_centroid_m,derived_height_m,derived_height_p75_roof_z_m,derived_height_max_roof_z_m,derived_height_centroid_ground_m,osm_reference_height_m,osm_reference_method,difference_from_osm_m,building_type,building_levels,osm_height_tag,name,footprint_area_m2
relation/11738867,1,0.927,0.929,105.75,105.94,107.098,1.63,76.346,76.219,29.404,29.594,30.752,29.531,28.5,levels,0.904,yes,9,,,679.6
relation/11739050,2,0.971,1.0,95.594,96.893,97.854,2.422,85.422,85.222,10.173,11.471,12.433,10.372,,,,yes,,,Cineplex „Emil Loteanu”,1803.9
relation/11739054,3,0.78,0.778,90.222,93.792,95.703,7.732,87.644,86.213,2.578,6.147,8.058,4.009,,,,yes,,,,878.2
relation/11764453,1,0.655,1.0,84.857,84.957,84.973,0.212,68.017,67.996,16.839,16.94,16.956,16.861,13.5,levels,3.339,yes,4,,,781.9
relation/11764455,1,1.025,1.0,71.228,72.771,74.09,4.207,64.679,64.089,6.548,8.092,9.411,7.139,7.5,levels,-0.952,retail,2,,,62.9
relation/11768981,1,0.939,1.0,63.411,63.565,63.62,0.532,60.332,59.927,3.079,3.233,3.288,3.485,,,,garages,,,,284.1
relation/11768982,1,1.02,1.0,63.123,63.23,63.636,0.857,60.098,59.933,3.025,3.131,3.538,3.19,,,,garages,,,,43.9
relation/11963260,2,1.011,1.0,71.323,71.341,71.52,0.803,66.641,66.012,4.682,4.7,4.879,5.311,,,,college,,,,395.3
relation/11963261,1,0.998,1.0,71.637,71.776,71.831,0.686,68.902,67.62,2.736,2.874,2.929,4.017,,,,college,,,,850.3
relation/11963262,1,0.976,1.0,76.876,77.023,77.317,3.817,69.221,68.528,7.656,7.802,8.097,8.348,,,,college,,,,1543.0
relation/11963263,2,1.034,1.0,70.831,71.644,73.19,2.653,68.256,68.108,2.574,3.388,4.933,2.723,,,,college,,,,477.1
relation/11963264,2,0.919,1.0,72.058,72.206,72.403,1.279,68.134,67.91,3.924,4.072,4.269,4.148,,,,yes,,,,181.7
relation/12578660,2,1.017,1.0,66.847,67.021,69.091,2.246,61.851,60.968,4.996,5.169,7.239,5.88,31.5,levels,-26.504,yes,10,,Banca Națională a Moldovei,3080.2
relation/12578661,2,0.792,1.0,82.528,82.901,83.345,1.931,62.155,60.532,20.373,20.746,21.19,21.996,13.5,levels,6.873,yes,4,,,2358.6
relation/12899639,1,0.294,1.0,87.806,88.023,88.252,1.541,82.502,81.827,5.304,5.521,5.749,5.979,,,,yes,,,Serviciul de Informații și Securitate,5499.6
relation/13409023,1,0.016,1.0,68.313,68.39,68.391,0.22,64.483,64.341,3.829,3.907,3.908,3.972,,,,commercial,,,,2157.2
relation/14066543,1,0.979,0.963,87.325,87.483,91.115,9.612,78.648,78.654,8.678,8.835,12.468,8.671,,,,ruins,,,Filarmonica Națională „Serghei Lunchevici”,2228.7
relation/14165939,1,1.127,1.0,90.192,90.308,90.425,0.454,86.583,85.705,3.608,3.725,3.842,4.487,,,,yes,,,,110.8
relation/14189934,2,1.024,0.714,78.401,79.356,80.023,2.262,73.015,72.04,5.387,6.342,7.008,6.361,,,,yes,,,Direcția Generală Urmărire Penală (DGUP) a Inspectoratului General al Poliției (IGP),856.0
relation/15063192,2,0.993,1.0,99.308,99.408,99.543,0.304,94.02,93.97,5.288,5.388,5.523,5.338,,,,commercial,,,,337.3
relation/17536997,1,0.949,1.0,109.578,125.53,128.802,28.148,88.883,87.555,20.695,36.648,39.919,22.023,28.5,levels,-7.805,yes,9,,Parlamentul Republicii Moldova,3491.0
relation/9856854,5,0.77,1.0,98.147,102.876,118.933,25.181,83.554,81.725,14.593,19.322,35.378,16.421,,,,yes,,,,4770.1
way/1006193127,2,1.221,0.9,83.55,84.21,87.53,2.841,79.044,78.953,4.506,5.166,8.486,4.597,,,,yes,,,,149.1
way/1011692718,1,1.099,1.0,90.19,90.596,90.612,0.866,85.939,85.727,4.251,4.656,4.673,4.463,,,,house,,,,72.1
way/1011692721,2,0.657,1.0,87.639,87.842,88.842,1.254,85.651,85.468,1.988,2.191,3.191,2.171,,,,yes,,,,75.2
way/1019064817,2,1.127,1.0,75.221,76.331,76.478,1.504,72.139,72.018,3.082,4.192,4.339,3.203,,,,yes,,,,61.7
way/102310986,1,0.837,1.0,73.359,73.359,73.359,0.0,69.305,67.755,4.055,4.055,4.055,5.605,7.5,levels,-3.445,yes,2,,,344.4
way/102310988,1,0.86,1.0,80.17,80.17,80.17,0.0,65.479,65.254,14.692,14.692,14.692,14.917,7.5,levels,7.192,residential,2,,,422.0
way/102310991,2,0.497,1.0,77.296,77.387,78.303,2.267,74.246,73.649,3.049,3.141,4.056,3.647,,,,yes,,,,657.2
way/1024992741,1,0.968,0.973,113.469,113.836,116.335,6.301,79.841,79.427,33.628,33.995,36.495,34.042,,,,apartments,,,,1404.1
way/1025590292,1,0.729,1.0,105.145,105.234,105.336,0.474,98.387,97.841,6.758,6.847,6.949,7.304,,,,hotel,,,,273.1
way/1038203382,2,0.964,1.0,124.72,125.802,125.945,1.368,82.638,82.085,42.082,43.164,43.307,42.635,,,,office,,,Avenue Business Centre,495.0
way/1044783344,1,0.737,1.0,80.995,81.047,81.06,0.346,76.839,76.465,4.156,4.208,4.221,4.53,,,,yes,,,,151.7
way/1054010392,1,0.991,1.0,85.875,87.739,89.342,4.603,82.527,82.526,3.348,5.211,6.815,3.349,,,,yes,,,,424.3
way/107668734,1,0.678,1.0,85.526,88.318,88.468,6.66,78.48,78.43,7.045,9.837,9.987,7.096,,,,yes,,,,450.9
way/1097080304,2,0.095,1.0,89.879,90.057,90.175,0.13,87.649,87.594,2.231,2.408,2.526,2.285,,,,yes,,,,660.2
way/109763448,1,0.928,0.889,97.329,99.701,100.042,3.607,83.41,83.33,13.919,16.291,16.632,13.999,13.5,levels,0.419,yes,4,,,329.3
way/109763455,1,0.893,0.75,90.27,91.69,93.908,5.434,85.907,85.713,4.363,5.784,8.001,4.557,,,,yes,,,,642.7
way/109763464,1,0.155,1.0,92.217,92.257,92.257,0.131,85.847,85.677,6.37,6.41,6.41,6.54,,,,yes,,,,623.6
